sequence,ALS_Data
153,1478.000000
154,1479.000000
155,1482.000000
156,1483.000000
157,1484.000000
158,1484.000000
159,1484.000000
160,1486.000000
161,1486.000000
162,1486.000000
163,1486.000000
164,1487.000000
165,1490.000000
166,1490.000000
167,1490.000000
168,1492.000000
169,1492.000000
170,1492.000000
171,1492.000000
172,1492.000000
173,1492.000000
174,1493.000000
175,1491.000000
176,1494.000000
177,1493.000000
178,1496.000000
179,1495.000000
180,1496.000000
181,1498.000000
182,1496.000000
183,1496.000000
184,1497.000000
185,1495.000000
186,1495.000000
187,1494.000000
188,1497.000000
189,1496.000000
190,1496.000000
191,1497.000000
192,1497.000000
193,1497.000000
194,1498.000000
195,1496.000000
196,1498.000000
197,1497.000000
198,1498.000000
199,1498.000000
200,1498.000000
201,1498.000000
202,1498.000000
203,1497.000000
204,1496.000000
205,1496.000000
206,1496.000000
207,1496.000000
208,1497.000000
209,1495.000000
210,1499.000000
211,1498.000000
212,1498.000000
213,1498.000000
214,1494.000000
215,1497.000000
216,1496.000000
217,1496.000000
218,1498.000000
219,1500.000000
220,1496.000000
221,1496.000000
222,1496.000000
223,1498.000000
224,1496.000000
225,1496.000000
226,1496.000000
227,1498.000000
228,1498.000000
229,1497.000000
230,1498.000000
231,1497.000000
232,1498.000000
233,1497.000000
234,1498.000000
235,1498.000000
236,1498.000000
237,1496.000000
238,1498.000000
239,1494.000000
240,1498.000000
241,1496.000000
242,1497.000000
243,1496.000000
244,1496.000000
245,1496.000000
246,1498.000000
247,1498.000000
248,1496.000000
249,1498.000000
250,1498.000000
251,1498.000000
252,1497.000000
253,1498.000000
254,1496.000000
255,1498.000000
256,1498.000000
257,1496.000000
258,1498.000000
259,1498.000000
260,1498.000000
261,1498.000000
262,1498.000000
263,1498.000000
264,1494.000000
265,1495.000000
266,1498.000000
267,1496.000000
268,1496.000000
269,1497.000000
270,1496.000000
271,1498.000000
272,1498.000000
273,1498.000000
274,1498.000000
275,1496.000000
276,1498.000000
277,1496.000000
278,1496.000000
279,1499.000000
280,1498.000000
281,1495.000000
282,1498.000000
283,1498.000000
284,1496.000000
285,1496.000000
286,1498.000000
287,1496.000000
288,1498.000000
289,1496.000000
290,1496.000000
291,1498.000000
292,1497.000000
293,1496.000000
294,1496.000000
295,1499.000000
296,1498.000000
297,1498.000000
298,1499.000000
299,1500.000000
300,1498.000000
301,1500.000000
302,1498.000000
303,1498.000000
304,1496.000000
305,1498.000000
306,1498.000000
307,1498.000000
308,1496.000000
309,1498.000000
310,1498.000000
311,1498.000000
312,1496.000000
313,1498.000000
314,1498.000000
315,1497.000000
316,1496.000000
317,1498.000000
318,1497.000000
319,1498.000000
320,1498.000000
321,1496.000000
322,1498.000000
323,1498.000000
324,1496.000000
325,1498.000000
326,1498.000000
327,1496.000000
328,1497.000000
329,1498.000000
330,1498.000000
331,1498.000000
332,1498.000000
333,1498.000000
334,1498.000000
335,1498.000000
336,1498.000000
337,1496.000000
338,1498.000000
339,1498.000000
340,1499.000000
341,1497.000000
342,1500.000000
343,1498.000000
344,1496.000000
345,1498.000000
346,1498.000000
347,1498.000000
348,1498.000000
349,1498.000000
350,1497.000000
351,1496.000000
352,1496.000000
353,1496.000000
354,1499.000000
355,1496.000000
356,1496.000000
357,1498.000000
358,1496.000000
359,1498.000000
360,1499.000000
361,1498.000000
362,1497.000000
363,1496.000000
364,1494.000000
365,1495.000000
366,1498.000000
367,1499.000000
368,1498.000000
369,1499.000000
370,1499.000000
371,1498.000000
372,1500.000000
373,1499.000000
374,1498.000000
375,1499.000000
376,1498.000000
377,1497.000000
378,1496.000000
379,1496.000000
380,1495.000000
381,1496.000000
382,1496.000000
383,1498.000000
384,1495.000000
385,1500.000000
386,1500.000000
387,1499.000000
388,1499.000000
389,1498.000000
390,1498.000000
391,1498.000000
392,1496.000000
393,1497.000000
394,1498.000000
395,1499.000000
396,1500.000000
397,1498.000000
398,1498.000000
399,1500.000000
400,1496.000000
401,1499.000000
402,1496.000000
403,1496.000000
404,1498.000000
405,1498.000000
406,1498.000000
407,1496.000000
408,1498.000000
409,1499.000000
410,1496.000000
411,1500.000000
412,1500.000000
413,1499.000000
414,1500.000000
415,1497.000000
416,1499.000000
417,1496.000000
418,1498.000000
419,1496.000000
420,1496.000000
421,1498.000000
422,1499.000000
423,1499.000000
424,1500.000000
425,1499.000000
426,1499.000000
427,1498.000000
428,1496.000000
429,1498.000000
430,1494.000000
431,1498.000000
432,1496.000000
433,1498.000000
434,1496.000000
435,1498.000000
436,1498.000000
437,1496.000000
438,1494.000000
439,1496.000000
